Permit #,Establishment Name,Address,Zip,Est Type,First Seen,Last Seen,Inspections
75014,STARBUCKS #9983,870 S. BROADWAY,40504,605,2006-08-14,2025-08-22,93
75019,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,40511,CTR.,2005-10-28,2025-09-10,79
75020,FAYETTE REG. JUV. DET. CTR.,,40511,CTR.,2025-09-10,2025-09-10,1
75022,FAYETTE REG. JUV. DET. CTR.,,40511,CTR.,2025-09-10,2025-09-10,1
75036,EDIBLE ARRANGEMENTS,"3101 RICHMOND ROAD, STE. 304",40509,607,2005-11-28,2022-11-29,101
75076,SUPER 8 MOTEL,2351 BUENA VISTA ROAD,40505,605,2005-11-15,2021-04-23,81
75078,THE CELLAR BAR & GRILL,3256 LANSDOWNE DR #50,40502,605,2006-04-06,2025-11-17,100
75079,GOODFELLAS PIZZERIA,110 N MILL STREET,40507,605,2006-02-13,2025-07-22,101
75081,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,40508,605,2006-05-15,2019-01-23,51
75117,"SIX BROTHERS, INC.",508 W. SIXTH STREET,40508,607,2005-11-09,2012-07-05,81
75118,"FROM THE HEART CATERING, LLC",501 W. SIXTH STREET,40508,605,2021-03-10,2021-09-30,4
75167,WALGREENS #10206,2290 NICHOLASVILLE ROAD,40503,610,2006-08-24,2025-11-20,26
75168,WALGREENS #09631,101 EAST REYNOLDS ROAD,40517,610,2006-05-10,2024-01-09,36
75216,GRIME'S RESTAURANT,325 ROOSEVELT BLVD.,40508,11,2006-08-10,2025-11-04,150
75225,MAGNOLIA RUN - OUTDOOR,,40514,,2025-08-28,2025-08-28,1
75229,HAMBURG FARMS - OUTDOOR,,40509,,2025-08-07,2025-08-07,1
75230,SIGNATURE CLUB OF LANSDOWNE - OUTDOOR,,40502,- OUTDOOR,2025-08-21,2025-08-21,1
75261,TROPICAL SMOOTHIE,"1060 CHINOE ROAD, #112",40502,605,2006-03-16,2013-03-13,20
75296,WENDY'S #711,5365 ATHENS-BOONESBORO ROAD,40509,11,2006-01-23,2025-11-25,80
75308,LA TAQUIZA,"130 W. TIVERTON WAY, #190",40503,11,2006-03-27,2025-12-05,113
75329,LA FITNESS & PRO RESULTS,1028 WELLINGTON WAY,40513,605,2006-01-03,2012-08-31,17
75331,THE LOCAL TACO,315 S LIMESTONE,40508,605,2011-09-07,2025-11-24,82
75371,SIGNATURE GRILLE,3256 LANSDOWNE DRIVE,40502,11,2006-05-24,2024-06-20,67
75390,VIP EARLY LEARNING CENTER,"1392 TRENT BLVD., STE. 3 & 4",40517,605,2006-02-01,2022-12-08,74
75419,STARBUCKS COFFEE #10374,2700 WILHITE DRIVE,40503,605,2006-07-10,2025-07-17,75
75421,SUPER MERCADO AGUASCALIENTES #5,2220 NICHOLASVILLE RD. STE 156,40503,#5,2006-02-28,2025-11-11,210
75509,EZ STOP SHOP,833 GEORGETOWN STREET,40508,610,2007-06-11,2013-02-05,84
75514,CULVER'S RESTAURANT,360 MEIJER WAY,40503,605,2006-09-19,2025-10-06,73
75632,CULVER'S RESTAURANT,2161 PAUL JONES WAY,40509,605,2006-07-21,2025-10-02,109
75633,AYAME JAPANESE & GOURMET MARKET,"115 CODELL DRIVE, STE 120",40509,610,2006-05-03,2023-08-09,165
75634,SPALDINGS BAKERY,760 WINCHESTER ROAD,40505,605,2006-03-23,2025-10-15,78
75702,JEAN FARRIS WINERY,6825 OLD RICHMOND ROAD,40515,605,2006-10-18,2023-08-25,92
75712,LA MEXICANA LLC,1916 OXFORD CIRCLE,40504,62,2006-03-22,2025-09-22,43
75714,CARINO'S #904,135 ROJAY DRIVE,40503,605,2006-09-19,2017-06-21,32
75722,DARAE & FRIENDS,"3459 BUCKHORN DR., #140",40515,11,2006-09-25,2025-11-18,106
75825,TACO BELL #23156,1768 SHARKEY WAY,40511,605,2006-09-06,2025-12-09,98
75852,PANCHITOS,2729 TRAILWOOD LANE,40511,610,2006-03-31,2025-08-15,16
75859,P.F. CHANG'S CHINA BISTRO,3405 NICHOLASVILLE ROAD,40503,11,2006-10-18,2025-11-25,108
75965,LEXINGTON GRIFFIN GATE MARRIOTT RESORT&SPA,,40511,MARRIOTT RESORT&SPA,2025-07-21,2025-07-21,1
75967,GLENEAGLES APARTMENTS - OUTDOOR,,40509,- OUTDOOR,2025-08-21,2025-08-21,1
75979,LEE'S GARDEN,"680 LIMA DRIVE, #110",40511,605,2007-01-11,2023-10-03,125
75980,PANDA CUISINE,2358 NICHOLASVILLE ROAD #115,40503,605,2006-09-27,2025-10-29,165
75988,IHOP RESTAURANT,1505 E NEW CIRCLE ROAD,40509,11,2006-10-02,2025-07-18,120
75989,SUBWAY DELI,2358 NICHOLASVILLE ROAD,40503,605,2006-08-03,2022-10-20,114
75992,THE FUTILE BAKERY,399 WALLER AVENUE STE. 130,40504,605,2006-09-20,2023-08-02,77
76013,BD'S MONGOLIAN GRILL,2309 SIR BARTON WAY,40509,11,2006-09-05,2025-08-19,121
76014,STARBUCKS #10829,"3401 NICHOLASVILLE RD., PK11",40503,605,2006-09-20,2020-12-14,82
76026,"LEARNING EXPERIENCE, THE",2501 SANDERSVILLE ROAD,40511,605,2007-02-16,2024-01-30,83
76172,GIACOMO'S,133 N. LIMESTONE,40507,605,2006-06-02,2011-12-28,16
76236,STARBUCKS COFFEE COMPANY #10689,2320 VERSAILLES RD STE. 100,40504,#10689,2006-09-15,2025-10-09,100
76237,STARBUCKS @ WT YOUNG LIBRARY,401 HILLTOP AVE,40506,LIBRARY,2007-11-14,2025-11-12,83
76396,EL ESPALON MEXICAN RESTAUANT,"191 JEFFERSON STREET, 1ST FLOOR",40507,605,2006-06-12,2019-07-24,60
76398,SAM'S HOT DOGS STAND,105 N. LIMESTONE,40508,605,2006-06-26,2025-11-04,93
76416,KARE BEARS,"3155 CUSTER DRIVE, SUITE A",40517,31,2006-08-30,2025-11-19,82
76417,CHAMPS SKATE CENTER,297 RUCCIO WAY,40513,11,2007-06-28,2025-12-04,111
76425,BOYD ORCHARDS,1390 PINCKARD PIKE,40383,610,2007-01-03,2016-07-23,4
76520,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,2299 RICHMOND ROAD,40502,605,2007-08-21,2016-03-28,29
76618,ATHENS-CHILESBURG ELEMENTARY,,40509,,2025-10-28,2025-10-28,1
76625,ATHENS-CHILESBURG ELEMENTARY,900 CHILESBURG ROAD,40509,605,2006-08-08,2025-10-28,76
76646,T.G.I. FRIDAYS,144 ROJAY DRIVE,40503,605,2007-02-14,2017-12-13,39
76650,PANERA BREAD #1176,3705 PALOMAR CENTRE DRIVE,40513,605,2006-11-30,2025-10-29,90
76661,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,40511,605,2017-03-15,2025-10-14,38
76706,STK TOBACCO,1507 RUSSELL CAVE RD.,40505,610,2006-08-08,2021-10-01,29
76789,BLUEGRASS TAVERN,115 CHEAPSIDE,40507,605,2007-01-03,2025-10-28,123
76790,ARBOR YOUTH SERVICES,536 W. THIRD STREET,40508,605,2017-01-13,2025-09-22,35
76793,MOE'S SOUTHWESTERN GRILL,"141 ROJAY DRIVE, STE. 120",40502,605,2006-12-03,2025-11-10,113
76794,THE FRESH MARKET,3387 TATES CREEK ROAD,40502,607,2007-04-20,2025-11-05,164
76795,COFFEA,383 ROSE STREET,40502,605,2007-01-09,2020-08-27,64
76796,THE PUB,3750 MALL ROAD,40503,605,2006-11-27,2017-09-21,54
76797,WALMART MARKET #4413,4230 SARON DRIVE,40515,55,2007-02-20,2025-07-31,130
76805,RITE AID #7892,100 MALABU DRIVE,40503,610,2007-06-28,2018-01-10,20
76882,GULF FOOD MART,405 WALLER AVENUE,40504,610,2007-04-05,2025-09-10,29
76884,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,40513,MEXICAN CUISINE,2006-10-20,2025-09-09,93
76885,WALGREENS #17142,6401 POLO CLUB BLVD.,40509,610,2007-01-22,2025-11-07,29
76889,SUPER MERCADA AQUASCALIENTES-4,2341 WOODHILL DRIVE,40509,607,2006-11-17,2025-11-13,194
77031,MAA TWO INC - MARATHON,531 SOUTHLAND DRIVE,40503,610,2013-01-16,2022-10-24,14
77032,WALGREENS #10776,2209 RICHMOND RD.,40502,610,2007-07-25,2025-12-16,22
77033,"ORCHID FLOWER, LLX","3090 TODDS RD., STE. #160",40509,605,2007-02-12,2011-12-14,15
