Permit #,query,status,matched_address,lat,lon
113661,2296 EXECUTIVE DR,Match,"2296 EXECUTIVE DR, LEXINGTON, KY, 40505",38.042213169847,-84.428479856539
103601,1419 VERSAILLES RD,Match,"1419 VERSAILLES RD, LEXINGTON, KY, 40504",38.049468115848,-84.527226966676
110151,1500 FITZGERALD,Match,"1500 FITZGERALD CT, LEXINGTON, KY, 40509",38.024634970528,-84.411572516455
103603,220 RUCCIO WAY,Match,"220 RUCCIO WAY, LEXINGTON, KY, 40503",37.996720047388,-84.530215839531
103844,3100 PIMLICO PKWY,Match,"3100 PIMLICO PKWY, LEXINGTON, KY, 40517",37.985709006158,-84.459738014223
103847,401 REED LANE,Match,"401 REED LN, LEXINGTON, KY, 40503",38.025062324858,-84.525333842496
116919,111 AVENUE OF CHAMPIONS,Match,"111 AVE OF CHAMPIONS, LEXINGTON, KY, 40506",38.041392904373,-84.503605956658
113887,1553 CHADWICH DR.,Match,"1553 CHADWICK DR, LEXINGTON, KY, 40515",37.973022582374,-84.466770542791
116913,101 LOUDON AVE,Match,"101 W LOUDON AVE, LEXINGTON, KY, 40508",38.057365606284,-84.481536626574
113409,1060 CHINOE RD.,Match,"1060 CHINOE RD, LEXINGTON, KY, 40502",37.997769521367,-84.48071491237
114981,206 W. MAIN STREET,Match,"206 W MAIN ST, LEXINGTON, KY, 40507",38.047233868361,-84.498075757768
112304,904 LIBERTY RD,Match,"904 LIBERTY RD, LEXINGTON, KY, 40505",38.041637841306,-84.469880874465
111211,3116 RICHMOND ROAD,Match,"3116 RICHMOND RD, LEXINGTON, KY, 40509",38.002668070181,-84.447693106162
107190,1170 MANCHESTER ST.,Match,"1170 MANCHESTER ST, LEXINGTON, KY, 40508",38.055061393962,-84.515217882983
114965,1388 ALEXANDRA DR 5-6,Match,"1388 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.049258072265,-84.552217236359
116902,2050 VERSAILLES RD.,Match,"2050 VERSAILLES RD, LEXINGTON, KY, 40504",38.04755635786,-84.54215829836
114968,3090 HELMSDALE PLACE PL.,Match,"3090 HELMSDALE PL, LEXINGTON, KY, 40509",38.012333175486,-84.420828362787
116903,1740 NICHOLASVILLE RD.,Match,"1740 NICHOLASVILLE RD, LEXINGTON, KY, 40503",38.019099370202,-84.51375591061
101406,3146 MAPLE LEAF DR,Match,"3146 MAPLELEAF DR, LEXINGTON, KY, 40509",38.006172563863,-84.424977068991
103827,170 N EAGLE CREEK,Match,"170 N EAGLE CREEK DR, LEXINGTON, KY, 40509",38.000526246126,-84.439945909419
118092,2887 RICHMOND ROAD,Match,"2887 RICHMOND SRD, LEXINGTON, KY, 40509",38.006481108037,-84.450022662205
101889,2100 FONTAINE RD,Match,"2100 FONTAINE RD, LEXINGTON, KY, 40502",38.017317123837,-84.469170471137
119185,400 WEST MAIN STREET,Match,"400 W MAIN ST, LEXINGTON, KY, 40507",38.048937846458,-84.49996868416
111445,101 W. LOUDON AVE,Match,"101 W LOUDON AVE, LEXINGTON, KY, 40508",38.057365606284,-84.481536626574
110111,814 EUCLID AVE,Match,"814 EUCLID AVE, LEXINGTON, KY, 40502",38.030071290954,-84.491165903827
112772,271 W. SHORT ST,Match,"271 W SHORT ST, LEXINGTON, KY, 40507",38.048392519547,-84.497842777761
113861,2905 TUSCALOOSA LN,Match,"2905 TUSCALOOSA LN, LEXINGTON, KY, 40515",37.992195006184,-84.450221903981
114710,1335 S. BRODWAY,Match,"1335 S BROADWAY RD, LEXINGTON, KY, 40504",38.034069861056,-84.523163271229
114953,402 FAIRDALE DR.,Match,"402 FAIRDALE DR, LEXINGTON, KY, 40511",38.070570023577,-84.514872773055
111279,1889 LOST TRAIL LANE,Match,"1889 LOST TRAIL LN, LEXINGTON, KY, 40511",38.086540081685,-84.50560383718
110187,471 JEFFERSON ST,Match,"471 JEFFERSON ST, LEXINGTON, KY, 40508",38.057536528844,-84.49520613567
103893,3449 BUCKHORN DR,Match,"3449 BUCKHORN DR, LEXINGTON, KY, 40515",37.976215395979,-84.458462435351
116964,1765 ALEXANDRIA DR.,Match,"1765 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.038982299652,-84.552606961387
117810,1768 ALEXANDRIA DR,Match,"1768 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.038769088528,-84.552245918021
116723,1290 INDUSTRY RD.,Match,"1290 INDUSTRY RD, LEXINGTON, KY, 40505",38.049506363301,-84.455353976974
114789,209 RUCCIO WAY,Match,"209 RUCCIO WAY, LEXINGTON, KY, 40503",37.994924778635,-84.52930575143
115639,891 GEORGETOWN ST.,Match,"891 GEORGETOWN RD, LEXINGTON, KY, 40508",38.070303563149,-84.504571863158
116727,1600 LEESTOWN RD,Match,"1600 LEESTOWN RD, LEXINGTON, KY, 40511",38.067140773235,-84.525708417293
106919,2220 NICHOLASVILLE RD,Match,"2220 NICHOLASVILLE RD, LEXINGTON, KY, 40503",38.008008586798,-84.517638342533
114550,1765 ALEXANDRIA DR,Match,"1765 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.038982299652,-84.552606961387
114551,1806 MARLBORO DR.,Match,"1806 MARLBORO DR, LEXINGTON, KY, 40505",38.079642216245,-84.464771332662
116731,1735 SHARKEY WAY,Match,"1735 SHARKEY WAY, LEXINGTON, KY, 40511",38.067871028268,-84.529096667429
114553,4750 HARTLAND PKWY,Match,"4750 HARTLAND PKWY, LEXINGTON, KY, 40515",37.960989548405,-84.480744164403
102796,126 E NEW CIRCLE RD,Match,"126 E NEW CIRCLE RD, LEXINGTON, KY, 40505",38.064474900851,-84.469472096119
104733,2456 WOODHILL DR,Match,"2456 WOODHILL DR, LEXINGTON, KY, 40509",38.015747167043,-84.449682604198
111043,2432 REGENCY ES,Match,"2432 REGENCY RD, LEXINGTON, KY, 40503",38.00381938108,-84.525061893554
102795,222 WILSON DOWNING RD,Match,"222 WILSON DOWNING RD, LEXINGTON, KY, 40517",37.983426185193,-84.518570180735
104731,331 E SHORT ST,Match,"331 E SHORT ST, LEXINGTON, KY, 40507",38.043115376397,-84.491470285466
103405,4561 IRON WORKS PIKE,Match,"4561 IRON WORKS RD, LEXINGTON, KY, 40511",38.149657326667,-84.535469719256
106915,140 MOORE DR,Match,"140 MOORE DR, LEXINGTON, KY, 40503",38.000072581909,-84.522308466346
104735,160 AVENUE OF CHAMPIONS,Match,"160 AVE OF CHAMPIONS, LEXINGTON, KY, 40526",38.040688491462,-84.503039463729
117808,858 W MAIN ST,Match,"858 W MAIN ST, LEXINGTON, KY, 40508",38.056900415574,-84.510106789769
117809,746 ALLENDALE DR,Match,"746 ALLENDALE DR, LEXINGTON, KY, 40503",38.028232433324,-84.53558227526
103661,400 E. THIRD ST,Match,"400 E 3RD ST, LEXINGTON, KY, 40508",38.044808283318,-84.486964267581
104993,4383 OLD HARRODSBURG RD,Match,"4383 OLD HARRODSBURG RD, LEXINGTON, KY, 40513",37.99630301311,-84.584659383022
103663,341 SOUTHLAND DR,Match,"341 SOUTHLAND DR, LEXINGTON, KY, 40503",38.016647628586,-84.524659938037
103662,908 HICKORY HILL,Match,"908 HICKORY HILL DR, NICHOLASVILLE, KY, 40356",37.876311955778,-84.59286335501
112112,161 LEXINGTON GREEN CIR,Match,"161 LEXINGTON GREEN CIR, LEXINGTON, KY, 40503",37.992954800994,-84.523973904593
114533,3401 NICHOLASVILLE RD.,Match,"3401 NICHOLASVILLE RD, LEXINGTON, KY, 40503",37.98845683202,-84.525168704428
115622,640 MAXWELL ST 130,Match,"640 W MAXWELL ST, LEXINGTON, KY, 40508",38.048135264031,-84.506691789509
114534,561 S. BRODWAY STE.,Match,"561 S BROADWAY RD, LEXINGTON, KY, 40508",38.044863486384,-84.505781831025
117801,1900 RICHMOND RD,Match,"1900 RICHMOND RD, LEXINGTON, KY, 40502",38.022629172393,-84.470178774156
114541,1244 VERSAILLES RD,Match,"1244 VERSAILLES RD, LEXINGTON, KY, 40508",38.049938778701,-84.519745085093
103412,2151 CHRISTIAN RD,Match,"2151 CHRISTIAN RD, LEXINGTON, KY, 40509",38.030673618635,-84.450386902221
111498,545 N. UPPER ST,Match,"545 N UPPER ST, LEXINGTON, KY, 40508",38.053898997462,-84.48840144591
113434,1181 GRAY PEAK,Match,"1181 GRAYS PEAK, COVINGTON, KY, 41011",39.073963695044,-84.523728564684
103630,134 MALABU DR,Match,"134 MALABU DR, LEXINGTON, KY, 40503",38.002447692057,-84.517377763172
111497,1445 NEWTOWN DRIVE,Match,"1445 NEWTOWN CENTER WAY, LEXINGTON, KY, 40511",38.083998823234,-84.489083718088
101694,722 NATIONAL AVE,Match,"722 NATIONAL AVE, LEXINGTON, KY, 40502",38.040749716318,-84.479602543912
116704,1730 SUMMERHILL DR,Match,"1730 SUMMERHILL DR, LEXINGTON, KY, 40515",37.968160241808,-84.460025781957
